GET http://localhost:3001/_next/static/css/41742a78284d1692.css 404 (Not Found)
:3001/_next/static/css/d5d801926ba4191d.css:1  GET http://localhost:3001/_next/static/css/d5d801926ba4191d.css net::ERR_ABORTED 404 (Not Found)
:3001/_next/static/media/93f479601ee12b01-s.p.woff2:1  GET http://localhost:3001/_next/static/media/93f479601ee12b01-s.p.woff2 net::ERR_ABORTED 404 (Not Found)
:3001/_next/static/media/4cf2300e9c8272f7-s.p.woff2:1  GET http://localhost:3001/_next/static/media/4cf2300e9c8272f7-s.p.woff2 net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp25-1.jpg&w=750&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/1517-bcd6a828bf973d71.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/webpack-31c069fb94ebf4aa.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/4bd1b696-30bfa5b1e950ba88.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/icons/logo.svg 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/main-app-2e5788c1099c469f.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp25-1.jpg&w=96&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp26-1.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp22-1.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp24-1.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp23-1.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp26-2.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/image?url=%2Fimages%2Fp23-2.jpg&w=640&q=75 400 (Bad Request)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/aaea2bcf-d3ea70f6d9419746.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/4562-06f02b8e3b4c3def.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/8173-53727ff1ad88aa13.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/2938-87eacbf6d9698f5f.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/2058-b99e67c3daf66bf2.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/7266-85a00921da5597ce.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/8472-f9c9a5aeaf66b0b7.js net::ERR_ABORTED 404 (Not Found)
dickies-mens-relaxed-fit-carpenter-jean:1  GET http://localhost:3001/_next/static/chunks/7970-eda602c2eb7c05dc.js net::ERR_ABORTED 404 (Not Found)
